time,data,noise,global_outlier,constant
2023-08-26 00:58:00+00:00,4.414,False,False,False
2023-08-26 00:58:10+00:00,4.414,False,False,False
2023-08-26 00:58:20+00:00,3.413,False,False,False
2023-08-26 00:58:30+00:00,3.413,False,False,False
2023-08-26 00:58:40+00:00,3.468,False,False,False
2023-08-26 00:58:50+00:00,4.076,False,False,False
2023-08-26 00:59:00+00:00,4.076,False,False,False
2023-08-26 00:59:10+00:00,2.302,False,False,False
2023-08-26 00:59:20+00:00,2.302,False,False,False
2023-08-26 00:59:30+00:00,3.073,False,False,False
2023-08-26 00:59:40+00:00,3.073,False,False,False
2023-08-26 00:59:50+00:00,2.98,False,False,False
2023-08-26 01:00:00+00:00,2.98,False,False,False
2023-08-26 01:00:10+00:00,3.468,False,False,False
2023-08-26 01:00:20+00:00,4.377,False,False,False
2023-08-26 01:00:30+00:00,4.377,False,False,False
2023-08-26 01:00:40+00:00,4.377,False,False,False
2023-08-26 01:00:50+00:00,3.16,False,False,False
2023-08-26 01:01:00+00:00,3.642,False,False,False
2023-08-26 01:01:10+00:00,3.642,False,False,False
2023-08-26 01:01:20+00:00,3.894,False,False,False
2023-08-26 01:01:30+00:00,3.894,False,False,False
2023-08-26 01:01:40+00:00,3.036,False,False,False
2023-08-26 01:01:50+00:00,3.036,False,False,False
2023-08-26 01:02:00+00:00,4.11,False,False,False
2023-08-26 01:02:10+00:00,4.11,False,False,False
2023-08-26 01:02:20+00:00,4.418,False,False,False
2023-08-26 01:02:30+00:00,3.021,False,False,False
2023-08-26 01:02:40+00:00,3.021,False,False,False
2023-08-26 01:02:50+00:00,3.842,False,False,False
2023-08-26 01:03:00+00:00,3.842,False,False,False
2023-08-26 01:03:10+00:00,2.804,False,False,False
2023-08-26 01:03:20+00:00,2.804,False,False,False
2023-08-26 01:03:30+00:00,4.26,False,False,False
2023-08-26 01:03:40+00:00,4.26,False,False,False
2023-08-26 01:03:50+00:00,3.631,False,False,False
2023-08-26 01:04:00+00:00,2.835,False,False,False
2023-08-26 01:04:10+00:00,2.835,False,False,False
2023-08-26 01:04:20+00:00,2.835,False,False,False
2023-08-26 01:04:30+00:00,4.068,False,False,False
2023-08-26 01:04:40+00:00,4.488,False,False,False
2023-08-26 01:04:50+00:00,4.488,False,False,False
2023-08-26 01:05:00+00:00,4.506,False,False,False
